observation	subject	trial	gap_size	target_size	correct_side	dots_left	dots_right	dotpair_id	vagueness	Text	is_error	rt
270	5	14	Small	Big	Right	6	8	6:8	Crisp	eight	0	2159
271	5	15	Small	Big	Left	8	6	6:8	Vague	many	0	1317
272	5	16	Big	Small	Left	2	6	2:6	Vague	few	0	1064
273	5	17	Big	Big	Right	4	8	8:4	Crisp	eight	0	1221
274	5	18	Small	Small	Right	5	3	3:5	Vague	few	0	1061
275	5	19	Small	Small	Right	4	2	2:4	Crisp	two	0	738
276	5	20	Small	Big	Left	9	7	7:9	Vague	many	0	914
277	5	21	Small	Big	Right	7	9	7:9	Crisp	nine	0	2796
278	5	22	Small	Big	Left	4	2	2:4	Vague	many	0	1338
279	5	23	Big	Small	Left	2	6	2:6	Crisp	two	0	845
280	5	24	Big	Small	Right	8	4	8:4	Vague	few	0	873
281	5	25	Small	Small	Right	9	7	7:9	Vague	few	0	1044
282	5	26	Big	Big	Right	2	6	2:6	Crisp	six	0	907
283	5	27	Big	Big	Left	8	4	8:4	Crisp	eight	0	1061
284	5	28	Big	Small	Right	9	5	5:9	Vague	few	0	1099
285	5	29	Big	Big	Right	3	7	7:3	Vague	many	0	941
286	5	30	Big	Big	Right	5	9	5:9	Vague	many	0	1335
287	5	31	Big	Small	Left	4	8	8:4	Crisp	four	0	834
288	5	32	Big	Small	Right	7	3	7:3	Vague	few	0	904
289	5	33	Big	Small	Left	3	7	7:3	Crisp	three	0	908
290	5	34	Small	Small	Right	8	6	6:8	Crisp	six	0	1215
291	5	35	Big	Small	Left	5	9	5:9	Vague	few	0	919
292	5	36	Small	Big	Left	8	6	6:8	Crisp	eight	0	1400
293	5	37	Small	Big	Right	6	8	6:8	Vague	many	0	1344
294	5	38	Big	Small	Right	6	2	2:6	Vague	few	0	901
295	5	39	Small	Big	Right	3	5	3:5	Crisp	five	0	942
296	5	40	Big	Small	Right	7	3	7:3	Crisp	three	0	714
297	5	41	Big	Small	Right	6	2	2:6	Crisp	two	0	674
298	5	42	Big	Big	Left	8	4	8:4	Vague	many	0	957
299	5	43	Small	Small	Left	2	4	2:4	Vague	few	1	981
300	5	44	Big	Big	Left	6	2	2:6	Vague	many	0	1304
