"Subject" "Trial" "Item" "c_Itm" "Vagueness" "c_Vag" "Selection" "c_Sel" "Instruction" "Order" "Quantity" "RT" "RT_log" "switchResponse"
"104" "s01" 104 "36:45:54" 0.75 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far more than 40 dots'" "RtoL" "Large" 619 6.4281052726846 "Expected"
"105" "s01" 105 "06:15:24" -0.75 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with more than 10 dots'" "RtoL" "Large" 820 6.7093043402583 "Expected"
"106" "s01" 106 "16:25:34" -0.25 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 20 dots'" "RtoL" "Small" 1776 7.48211892355212 "Near"
"107" "s01" 107 "26:35:44" 0.25 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 30 dots'" "RtoL" "Small" 1381 7.23056315340929 "Far"
"108" "s01" 108 "36:45:54" 0.75 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with fewer than 50 dots'" "LtoR" "Small" 813 6.70073110954781 "Expected"
"109" "s01" 109 "06:15:24" -0.75 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 10 dots'" "LtoR" "Small" 645 6.46925031679577 "Expected"
"110" "s01" 110 "16:25:34" -0.25 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with more than 20 dots'" "RtoL" "Large" 1080 6.98471632011827 "Expected"
"111" "s01" 111 "26:35:44" 0.25 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far more than 30 dots'" "RtoL" "Large" 832 6.72383244082121 "Expected"
"112" "s01" 112 "36:45:54" 0.75 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 36 dots'" "LtoR" "Small" 936 6.84161547647759 "Near"
"113" "s01" 113 "06:15:24" -0.75 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 6 dots'" "RtoL" "Small" 793 6.67582322163485 "Expected"
"114" "s01" 114 "16:25:34" -0.25 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far more than 20 dots'" "RtoL" "Large" 766 6.64118216974059 "Expected"
"115" "s01" 115 "26:35:44" 0.25 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 26 dots'" "RtoL" "Small" 1392 7.23849684089437 "Near"
"116" "s01" 116 "36:45:54" 0.75 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with more than 40 dots'" "LtoR" "Large" 1083 6.98749024700099 "Expected"
