"Subject" "Item" "vagueness" "selection" "RT"
"520" 11 4 "crisp" "matching" 4083
"521" 11 1 "crisp" "comparison" 2879
"522" 11 2 "vague" "comparison" 2324
"523" 11 3 "crisp" "matching" 1558
"524" 11 4 "vague" "matching" 4530
"525" 11 1 "vague" "comparison" 1921
"526" 11 2 "crisp" "matching" 1845
"527" 11 3 "crisp" "comparison" 1742
"528" 11 4 "crisp" "matching" 6149
"529" 11 1 "crisp" "matching" 1678
"530" 11 2 "crisp" "matching" 1468
"531" 11 3 "vague" "comparison" 2516
"532" 11 4 "crisp" "comparison" 1678
"533" 11 1 "vague" "matching" 7166
"534" 11 2 "crisp" "comparison" 1599
"535" 11 3 "vague" "matching" 9999
"536" 11 4 "crisp" "comparison" 3448
"537" 11 1 "vague" "matching" 2494
"538" 11 2 "vague" "comparison" 2571
"539" 11 3 "vague" "matching" 3582
"540" 11 4 "vague" "comparison" 1979
"541" 11 1 "crisp" "matching" 2956
"542" 11 2 "vague" "matching" 8465
"543" 11 3 "crisp" "matching" 1629
"544" 11 4 "vague" "comparison" 4791
"545" 11 1 "crisp" "matching" 2348
"546" 11 2 "crisp" "comparison" 3779
"547" 11 3 "vague" "comparison" 2798
"548" 11 4 "crisp" "matching" 1675
"549" 11 1 "vague" "comparison" 2723
"550" 11 2 "crisp" "matching" 1456
"551" 11 3 "crisp" "comparison" 1448
"552" 11 4 "crisp" "comparison" 1770
"553" 11 1 "crisp" "matching" 2813
"554" 11 2 "vague" "comparison" 1419
"555" 11 3 "vague" "comparison" 1993
"556" 11 4 "crisp" "matching" 1460
"557" 11 1 "vague" "matching" 7029
"558" 11 2 "vague" "comparison" 2855
"559" 11 3 "crisp" "matching" 2673
"560" 11 4 "crisp" "comparison" 2181
"561" 11 1 "crisp" "comparison" 1569
"562" 11 2 "vague" "matching" 8840
"563" 11 3 "crisp" "matching" 2271
"564" 11 4 "vague" "matching" 2100
"565" 11 1 "vague" "comparison" 1426
"566" 11 2 "vague" "matching" 6029
"567" 11 3 "crisp" "comparison" 3324
"568" 11 4 "vague" "matching" 5330
"569" 11 1 "crisp" "comparison" 1341
"570" 11 2 "vague" "matching" 1276
"571" 11 3 "crisp" "comparison" 2882
"572" 11 4 "vague" "comparison" 5381
"573" 11 1 "vague" "matching" 3599
"574" 11 2 "crisp" "comparison" 2635
"575" 11 3 "vague" "matching" 3030
"576" 11 4 "vague" "comparison" 1490
"577" 12 1 "vague" "comparison" 2512
"578" 12 2 "vague" "matching" 1486
"579" 12 3 "vague" "comparison" 1636
"580" 12 4 "vague" "comparison" 1583
"581" 12 1 "crisp" "comparison" 1256
"582" 12 2 "crisp" "comparison" 1581
"583" 12 3 "vague" "matching" 1443
"584" 12 4 "vague" "matching" 1788
"585" 12 1 "crisp" "comparison" 1992
"586" 12 2 "vague" "comparison" 949
"587" 12 3 "crisp" "comparison" 1396
"588" 12 4 "crisp" "matching" 2520
"589" 12 1 "crisp" "matching" 1280
"590" 12 2 "vague" "comparison" 958
"591" 12 3 "vague" "matching" 2346
"592" 12 4 "crisp" "comparison" 3095
"593" 12 1 "vague" "comparison" 1022
"594" 12 2 "vague" "comparison" 1381
"595" 12 3 "crisp" "comparison" 1188
"596" 12 4 "vague" "matching" 2149
"597" 12 1 "crisp" "matching" 889
"598" 12 2 "vague" "comparison" 863
"599" 12 3 "crisp" "matching" 1726
"600" 12 4 "vague" "comparison" 1749
"601" 12 1 "crisp" "comparison" 1736
"602" 12 2 "crisp" "matching" 2586
"603" 12 3 "crisp" "matching" 1330
"604" 12 4 "crisp" "comparison" 930
"605" 12 1 "vague" "comparison" 806
"606" 12 2 "crisp" "matching" 2331
"607" 12 3 "vague" "comparison" 849
"608" 12 4 "vague" "comparison" 1445
"609" 12 1 "vague" "matching" 2504
"610" 12 2 "crisp" "comparison" 972
"611" 12 3 "vague" "matching" 3736
"612" 12 4 "crisp" "matching" 2137
"613" 12 1 "vague" "matching" 2349
"614" 12 2 "crisp" "matching" 1297
"615" 12 3 "crisp" "comparison" 1752
"616" 12 4 "vague" "comparison" 1696
"617" 12 1 "vague" "matching" 2908
"618" 12 2 "crisp" "comparison" 1154
"619" 12 3 "vague" "comparison" 3091
"620" 12 4 "vague" "matching" 2698
"621" 12 1 "crisp" "matching" 1248
"622" 12 2 "vague" "matching" 1610
"623" 12 3 "crisp" "matching" 1604
"624" 12 4 "crisp" "matching" 2286
"625" 12 1 "vague" "comparison" 742
"626" 12 2 "crisp" "comparison" 1107
"627" 12 3 "vague" "matching" 1201
"628" 12 4 "crisp" "comparison" 833
"629" 12 1 "crisp" "matching" 806
"630" 12 2 "vague" "matching" 1202
"631" 12 3 "crisp" "comparison" 761
"632" 12 4 "crisp" "comparison" 1178
"633" 12 1 "crisp" "comparison" 566
"634" 12 2 "crisp" "matching" 798
"635" 12 3 "crisp" "matching" 889
"636" 12 4 "vague" "matching" 1302
"637" 12 1 "vague" "matching" 7411
"638" 12 2 "vague" "matching" 2802
"639" 12 3 "vague" "comparison" 1579
"640" 12 4 "crisp" "matching" 2594
"641" 12 1 "vague" "matching" 1322
"642" 12 2 "crisp" "matching" 1038
"643" 12 3 "vague" "matching" 1393
"644" 12 4 "vague" "matching" 1413
"645" 12 1 "vague" "matching" 1216
"646" 12 2 "crisp" "matching" 1841
"647" 12 3 "vague" "comparison" 1110
"648" 12 4 "crisp" "comparison" 1349
"649" 12 1 "crisp" "comparison" 984
"650" 12 2 "crisp" "matching" 1974
"651" 12 3 "crisp" "comparison" 1211
"652" 12 4 "crisp" "comparison" 2741
"653" 12 1 "crisp" "matching" 1225
"654" 12 2 "crisp" "matching" 4751
"655" 12 3 "vague" "comparison" 1214
"656" 12 4 "vague" "matching" 3793
"657" 12 1 "crisp" "matching" 1428
"658" 12 2 "vague" "matching" 851
"659" 12 3 "crisp" "matching" 2719
"660" 12 4 "vague" "comparison" 868
"661" 12 1 "vague" "comparison" 2162
"662" 12 2 "vague" "comparison" 1030
"663" 12 3 "crisp" "matching" 4118
"664" 12 4 "crisp" "comparison" 1271
"665" 12 1 "vague" "comparison" 2061
"666" 12 2 "crisp" "comparison" 1156
"667" 12 3 "vague" "matching" 2719
"668" 12 4 "vague" "comparison" 1647
