"Subject" "Item" "id" "Trial" "Vagueness" "Selection" "Order" "Quantity" "Instruction" "nchar_instr" "RT" "RT_raw" "RT_log" "RTprev_log" "RTprev_raw" "rt_instr" "response_cat"
"90" "s01" "16:25:34" "s01:t090" 90 "Crisp" "Matching" "LtoR" "Large" "'Choose a square with 34 dots'" 30 801 801 6.68586094706836 7.45760928971561 1733 558 "Expected"
"91" "s01" "26:35:44" "s01:t091" 91 "Crisp" "Comparison" "LtoR" "Large" "'Choose a square with more than 30 dots'" 40 999 999 6.90675477864855 6.68586094706836 801 555 "Expected"
"92" "s01" "36:45:54" "s01:t092" 92 "Vague" "Comparison" "LtoR" "Small" "'Choose a square with far fewer than 50 dots'" 45 1813 1813 7.50273821075485 6.90675477864855 999 578 "Near"
"93" "s01" "06:15:24" "s01:t093" 93 "Crisp" "Matching" "RtoL" "Large" "'Choose a square with 24 dots'" 30 945 945 6.85118492749374 7.50273821075485 1813 460 "Expected"
"94" "s01" "16:25:34" "s01:t094" 94 "Crisp" "Matching" "RtoL" "Large" "'Choose a square with 34 dots'" 30 1122 1122 7.02286808608264 6.85118492749374 945 559 "Expected"
"95" "s01" "26:35:44" "s01:t095" 95 "Vague" "Matching" "RtoL" "Large" "'Choose a square with about 40 dots'" 36 1139 1139 7.03790596344718 7.02286808608264 1122 585 "Expected"
"96" "s01" "36:45:54" "s01:t096" 96 "Vague" "Matching" "RtoL" "Large" "'Choose a square with about 50 dots'" 36 1369 1369 7.22183582528845 7.03790596344718 1139 649 "Expected"
"97" "s01" "06:15:24" "s01:t097" 97 "Vague" "Matching" "LtoR" "Large" "'Choose a square with about 20 dots'" 36 1172 1172 7.06646697013696 7.22183582528845 1369 479 "Expected"
"98" "s01" "16:25:34" "s01:t098" 98 "Vague" "Matching" "RtoL" "Large" "'Choose a square with about 30 dots'" 36 806 806 6.69208374250663 7.06646697013696 1172 498 "Expected"
"99" "s01" "26:35:44" "s01:t099" 99 "Crisp" "Matching" "LtoR" "Large" "'Choose a square with 44 dots'" 30 668 668 6.50428817353665 6.69208374250663 806 540 "Expected"
"100" "s01" "36:45:54" "s01:t100" 100 "Vague" "Matching" "RtoL" "Small" "'Choose a square with about 40 dots'" 36 846 846 6.74051935960622 6.50428817353665 668 595 "Far"
"101" "s01" "06:15:24" "s01:t101" 101 "Vague" "Comparison" "LtoR" "Large" "'Choose a square with far more than 10 dots'" 44 613 613 6.41836493593621 6.74051935960622 846 1134 "Expected"
"102" "s01" "16:25:34" "s01:t102" 102 "Crisp" "Matching" "LtoR" "Small" "'Choose a square with 16 dots'" 30 967 967 6.87419849545329 6.41836493593621 613 599 "Expected"
"103" "s01" "26:35:44" "s01:t103" 103 "Vague" "Comparison" "LtoR" "Large" "'Choose a square with far more than 30 dots'" 44 643 643 6.46614472423762 6.87419849545329 967 684 "Expected"
"104" "s01" "36:45:54" "s01:t104" 104 "Vague" "Comparison" "RtoL" "Large" "'Choose a square with far more than 40 dots'" 44 619 619 6.4281052726846 6.46614472423762 643 667 "Expected"
"105" "s01" "06:15:24" "s01:t105" 105 "Crisp" "Comparison" "RtoL" "Large" "'Choose a square with more than 10 dots'" 40 820 820 6.7093043402583 6.4281052726846 619 644 "Expected"
